"state_name","county_name","emp0A01_BS","year","quarter","countyreal","censusdiv","FIPS","msa","pop","white","black","hs","col","medinc","pov","nssi","first.treat","treat","lemp","lpop","lmedinc","region"
"Colorado","Adams",6190,2001,1,8001,"8",8001,TRUE,363.857,0.773000030517578,0.03,0.658000030517578,0.13,40.802,0.103999996185303,5009,2007,1,8.73069036567864,5.8967609333053,3.70873109981654,"4"
"Colorado","Adams",5122,2002,1,8001,"8",8001,TRUE,363.857,0.773000030517578,0.03,0.658000030517578,0.13,40.802,0.103999996185303,5009,2007,1,8.54130026675947,5.8967609333053,3.70873109981654,"4"
"Colorado","Adams",4729,2003,1,8001,"8",8001,TRUE,363.857,0.773000030517578,0.03,0.658000030517578,0.13,40.802,0.103999996185303,5009,2007,1,8.46146904264388,5.8967609333053,3.70873109981654,"4"
"Colorado","Adams",4175,2004,1,8001,"8",8001,TRUE,363.857,0.773000030517578,0.03,0.658000030517578,0.13,40.802,0.103999996185303,5009,2007,1,8.33686963728496,5.8967609333053,3.70873109981654,"4"
"Colorado","Adams",4189,2005,1,8001,"8",8001,TRUE,363.857,0.773000030517578,0.03,0.658000030517578,0.13,40.802,0.103999996185303,5009,2007,1,8.34021732094704,5.8967609333053,3.70873109981654,"4"
"Colorado","Adams",4351,2006,1,8001,"8",8001,TRUE,363.857,0.773000030517578,0.03,0.658000030517578,0.13,40.802,0.103999996185303,5009,2007,1,8.37816098272068,5.8967609333053,3.70873109981654,"4"
"Colorado","Adams",4853,2007,1,8001,"8",8001,TRUE,363.857,0.773000030517578,0.03,0.658000030517578,0.13,40.802,0.103999996185303,5009,2007,1,8.48735234940522,5.8967609333053,3.70873109981654,"4"
"Colorado","Alamosa",259,2001,1,8003,"8",8003,TRUE,14.966,0.711999969482422,0.01,0.528000011444092,0.241000003814697,28.204,0.23,547,2007,1,5.55682806169954,2.70578096165817,3.33946381185679,"4"
"Colorado","Alamosa",212,2002,1,8003,"8",8003,TRUE,14.966,0.711999969482422,0.01,0.528000011444092,0.241000003814697,28.204,0.23,547,2007,1,5.35658627467201,2.70578096165817,3.33946381185679,"4"
"Colorado","Alamosa",219,2003,1,8003,"8",8003,TRUE,14.966,0.711999969482422,0.01,0.528000011444092,0.241000003814697,28.204,0.23,547,2007,1,5.3890717298165,2.70578096165817,3.33946381185679,"4"
"Colorado","Alamosa",212,2004,1,8003,"8",8003,TRUE,14.966,0.711999969482422,0.01,0.528000011444092,0.241000003814697,28.204,0.23,547,2007,1,5.35658627467201,2.70578096165817,3.33946381185679,"4"
"Colorado","Alamosa",201,2005,1,8003,"8",8003,TRUE,14.966,0.711999969482422,0.01,0.528000011444092,0.241000003814697,28.204,0.23,547,2007,1,5.30330490805908,2.70578096165817,3.33946381185679,"4"
"Colorado","Alamosa",209,2006,1,8003,"8",8003,TRUE,14.966,0.711999969482422,0.01,0.528000011444092,0.241000003814697,28.204,0.23,547,2007,1,5.34233425196481,2.70578096165817,3.33946381185679,"4"
"Colorado","Alamosa",185,2007,1,8003,"8",8003,TRUE,14.966,0.711999969482422,0.01,0.528000011444092,0.241000003814697,28.204,0.23,547,2007,1,5.22035582507832,2.70578096165817,3.33946381185679,"4"
"Colorado","Arapahoe",11181,2001,1,8005,"8",8005,TRUE,487.967,0.799000015258789,0.0769999980926514,0.562999992370605,0.352000007629395,50.748,0.0640000009536743,3381,2007,1,9.32197118814737,6.19024778061579,3.92687220827835,"4"
"Colorado","Arapahoe",9178,2002,1,8005,"8",8005,TRUE,487.967,0.799000015258789,0.0769999980926514,0.562999992370605,0.352000007629395,50.748,0.0640000009536743,3381,2007,1,9.12456459495478,6.19024778061579,3.92687220827835,"4"
"Colorado","Arapahoe",8315,2003,1,8005,"8",8005,TRUE,487.967,0.799000015258789,0.0769999980926514,0.562999992370605,0.352000007629395,50.748,0.0640000009536743,3381,2007,1,9.02581639162703,6.19024778061579,3.92687220827835,"4"
"Colorado","Arapahoe",7322,2004,1,8005,"8",8005,TRUE,487.967,0.799000015258789,0.0769999980926514,0.562999992370605,0.352000007629395,50.748,0.0640000009536743,3381,2007,1,8.89863879368018,6.19024778061579,3.92687220827835,"4"
"Colorado","Arapahoe",7487,2005,1,8005,"8",8005,TRUE,487.967,0.799000015258789,0.0769999980926514,0.562999992370605,0.352000007629395,50.748,0.0640000009536743,3381,2007,1,8.92092346223069,6.19024778061579,3.92687220827835,"4"
"Colorado","Arapahoe",7470,2006,1,8005,"8",8005,TRUE,487.967,0.799000015258789,0.0769999980926514,0.562999992370605,0.352000007629395,50.748,0.0640000009536743,3381,2007,1,8.91865027812686,6.19024778061579,3.92687220827835,"4"
